,text,ori_tweet
0,,Here is my statement.pic.twitter.com/WAZiGoQqMQ
1,really america terrible ,Is this really America? Terrible!pic.twitter.com/WiwC61PIFu
2,media establishment want race badly never drop race never let supporters maga ,"The media and establishment want me out of the race so badly -  I WILL NEVER DROP OUT OF THE RACE, WILL NEVER LET MY SUPPORTERS DOWN! #MAGA"
3,certainly interesting 24 hours ,Certainly has been an interesting 24 hours!
4,debate polls look great thank maga ,"Debate polls look great - thank you!
#MAGA #AmericaFirstpic.twitter.com/4peQ3Sswdz"
5,saying clinton campaign anti catholic bigotry ,"WHAT THEY ARE SAYING ABOUT THE CLINTON CAMPAIGN’S ANTI-CATHOLIC BIGOTRY: 
http://bit.ly/2dcbtvkCrooked "
6,thank maga ,Thank you! #MAGA #AmericaFirstpic.twitter.com/fG313wjlKm
7,cincinnati ohio tomorrow night 7 30pm join ohiovotesearly votetrumppence16 tickets ,"I will be in Cincinnati, Ohio tomorrow night at 7:30pm- join me! #OhioVotesEarly #VoteTrumpPence16 
Tickets: https://www.donaldjtrump.com/schedule/register/cincinnati-oh2/ …pic.twitter.com/XUFuGc4Fg5"
8,little pick dishonest media incredible information provided wikileaks dishonest rigged system ,Very little pick-up by the dishonest media of incredible information provided by WikiLeaks. So dishonest! Rigged system!
9,thank florida movement never seen never seen lets get votetrumppence16 11 8 ,Thank you Florida- a MOVEMENT that has never been seen before and will never be seen again. Lets get out & #VoteTrumpPence16 on 11/8! #MAGApic.twitter.com/e90a2AL7vO
10,foul mouthed sen john mccain begged support primary gave dropped locker room remarks ,"The very foul mouthed Sen. John McCain begged for my support during his  primary (I gave, he won), then dropped me over locker room remarks!"
11,disloyal r far difficult crooked hillary come sides know win teach ,Disloyal R's are far more difficult than Crooked Hillary. They come at you from all sides. They don’t know how to win - I will teach them!
12,exception cheating bernie nom dems always proven far loyal republicans ,With the exception of cheating Bernie out of the nom the Dems have always proven to be far more loyal to each other than the Republicans!
13,nice shackles taken fight america way want ,It is so nice that the shackles have been taken off me and I can now fight for America the way I want to.
14,weak ineffective leader paul ryan bad conference call members went wild disloyalty ,"Our very weak and ineffective leader, Paul Ryan, had a bad conference call where his members went wild at his disloyalty."
15,despite winning second debate landslide every poll hard well paul ryan others give zero support ,"Despite winning the second debate in a landslide (every poll), it is hard to do well when Paul Ryan and others give zero support!"
16,wow cnn got caught fixing focus group order make crooked hillary look better really pathetic totally dishonest ,"Wow, @CNN got caught fixing their ""focus group"" in order to make Crooked Hillary look better. Really pathetic and totally dishonest!"
17,hillaryclinton law ,".@HillaryClinton is NOT above the law!
#Debates2016pic.twitter.com/4arYZcGgYZ"
18,team deplorables taking twitter account tonight debate makeamericagreatagain ,"My team of deplorables will be taking over my Twitter account for tonight's #debate
#MakeAmericaGreatAgain"
19,many self righteous hypocrites watch poll numbers elections go ,So many self-righteous hypocrites. Watch their poll numbers - and elections - go down!
20,wow hear bill clinton statement bad obamacare hillary happy saying repeal replace ,"Wow, did you just hear Bill Clinton's statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REPEAL AND REPLACE!"
21,watching great governor mike pence live tweeting vp debate tonight starting 8 30pm est enjoy ,I will be watching the great Governor @Mike_Pence and live tweeting the VP debate tonight starting at 8:30pm est! Enjoy!
